case,solver,nx,crossings,steps,dt,backend,l1,width_cells,overshoot,undershoot,pressure_wiggle,wall_s
contact,Hancock-PLM,128,10,5277,0.000379003221527,metal,4.877169709653e-02,20,5.292177200317e-03,4.069030284882e-03,9.487953878913e-03,17.412460
contact,Hancock-PPM-tr-2shk,128,10,5277,0.000379003221527,metal,2.800250379369e-02,12,3.051757812500e-05,5.304813385010e-06,1.809597014080e-05,20.754635
contact,Local-PPM-tr-2shk,128,10,5277,0.000379003221527,metal,2.783230971545e-02,10,3.731179237366e-02,1.895475387573e-02,2.355582442015e-05,19.302537
contact,Local-PPM-exact-label-THINC,128,10,5277,0.000379003221527,metal,2.127949194983e-02,8,3.471279144287e-02,1.744550466537e-02,1.506807196583e-05,19.738625
contact,Local-PPM-carried-label-THINC,128,10,5277,0.000379003221527,metal,2.681462187320e-02,8,3.881311416626e-02,1.976168155670e-02,2.114770022366e-05,26.924979
contact,PPM-DirectEuler,128,10,5277,0.000379003221527,metal,2.827293798327e-02,12,3.461837768555e-04,3.515481948853e-04,1.208815292557e-03,79.503937
contact,PPML-trace,128,10,5277,0.000379003221527,metal,9.904691018164e-03,4,0.000000000000e+00,0.000000000000e+00,3.893371767671e-05,33.485217
top_hat,Hancock-PLM,128,10,5277,0.000379003221527,metal,4.745416715741e-02,19,0.000000000000e+00,4.084825515747e-03,1.569830369024e-02,17.873069
top_hat,Hancock-PPM-tr-2shk,128,10,5277,0.000379003221527,metal,2.801171503961e-02,12,0.000000000000e+00,3.576278686523e-07,2.231593530255e-05,22.771991
top_hat,Local-PPM-tr-2shk,128,10,5277,0.000379003221527,metal,2.775341738015e-02,10,3.752422332764e-02,1.897948980331e-02,1.666549121948e-05,19.117509
top_hat,Local-PPM-exact-label-THINC,128,10,5277,0.000379003221527,metal,2.018822636455e-02,8,3.489732742310e-02,1.745164394379e-02,1.401903679177e-05,18.730518
top_hat,Local-PPM-carried-label-THINC,128,10,5277,0.000379003221527,metal,2.679238189012e-02,8,3.912711143494e-02,1.975470781326e-02,1.496073866947e-05,26.644865
top_hat,PPM-DirectEuler,128,10,5277,0.000379003221527,metal,2.813125075772e-02,12,5.869865417480e-04,4.482269287109e-04,1.002472042273e-03,69.379492
top_hat,PPML-trace,128,10,5277,0.000379003221527,metal,9.884937666357e-03,4,0.000000000000e+00,0.000000000000e+00,1.897809104157e-05,33.918602
