t,KE,IE,TE,mass,mach
0.000000,0.5,1.7857143,2.2857143,1,1.000000
0.034531,0.49654811,1.7891662,2.2857143,1,0.995534
0.069483,0.46842329,1.817291,2.2857143,1,0.968611
0.105680,0.4271165,1.8585978,2.2857143,1,0.933514
0.145393,0.4051042,1.8806101,2.2857143,1,0.926647
0.186056,0.39204078,1.8936735,2.2857143,1,0.921598
0.227012,0.37548036,1.9102339,2.2857143,1,0.895289
0.269675,0.35601242,1.9297019,2.2857143,1,0.858219
0.312879,0.33463515,1.9510791,2.2857143,1,0.820529
0.357268,0.31451132,1.971203,2.2857143,1,0.787812
0.402655,0.29546232,1.990252,2.2857143,1,0.758564
0.446147,0.27526179,2.0104525,2.2857143,1,0.726949
0.488319,0.25547751,2.0302368,2.2857143,1,0.694179
0.531735,0.2375554,2.0481589,2.2857143,1,0.662493
0.577338,0.22241504,2.0632992,2.2857143,1,0.635463
0.624892,0.20611988,2.0795944,2.2857143,1,0.608647
0.672974,0.18915826,2.096556,2.2857143,1,0.582405
0.720865,0.17347966,2.1122346,2.2857143,1,0.556425
0.769843,0.16162478,2.1240895,2.2857143,1,0.534948
0.817959,0.15220233,2.133512,2.2857143,1,0.515390
0.864577,0.14428939,2.1414249,2.2857143,1,0.498365
0.914837,0.13647578,2.1492385,2.2857143,1,0.483306
0.965466,0.12929475,2.1564195,2.2857143,1,0.469769
1.000000,0.12430921,2.1614051,2.2857143,1,0.459888
