t,KE,IE,TE,mass,mach
0.000000,0.5,1.7857143,2.2857143,1,1.000000
0.017172,0.49979185,1.7859224,2.2857143,1,0.999493
0.034379,0.49742052,1.7882938,2.2857143,1,0.996589
0.051630,0.48860347,1.7971108,2.2857143,1,0.987834
0.068993,0.47151053,1.8142038,2.2857143,1,0.972129
0.086569,0.45147886,1.8342354,2.2857143,1,0.954716
0.104623,0.43488089,1.8508334,2.2857143,1,0.942823
0.123791,0.4241761,1.8615382,2.2857143,1,0.940258
0.143492,0.41902559,1.8666887,2.2857143,1,0.945151
0.163116,0.41626515,1.8694491,2.2857143,1,0.950796
0.182727,0.41320033,1.872514,2.2857143,1,0.952084
0.202326,0.40922327,1.876491,2.2857143,1,0.947717
0.222215,0.40449875,1.8812155,2.2857143,1,0.938610
0.242415,0.39923153,1.8864828,2.2857143,1,0.926846
0.262993,0.39346394,1.8922503,2.2857143,1,0.914330
0.283651,0.38709677,1.8986175,2.2857143,1,0.902161
0.304404,0.38001162,1.9057027,2.2857143,1,0.889696
0.325082,0.37291256,1.9128017,2.2857143,1,0.877396
0.345599,0.36647185,1.9192424,2.2857143,1,0.866692
0.366228,0.36015783,1.9255565,2.2857143,1,0.857450
0.387434,0.35350994,1.9322043,2.2857143,1,0.848028
0.408731,0.34577818,1.9399361,2.2857143,1,0.837082
0.429580,0.33737686,1.9483374,2.2857143,1,0.825056
0.449431,0.32909658,1.9566177,2.2857143,1,0.812669
0.469344,0.32069955,1.9650147,2.2857143,1,0.799613
0.489487,0.31198015,1.9737341,2.2857143,1,0.785495
0.509619,0.30366005,1.9820542,2.2857143,1,0.771064
0.529928,0.29574122,1.9899731,2.2857143,1,0.757028
0.550371,0.2883412,1.9973731,2.2857143,1,0.744410
0.571437,0.2810368,2.0046775,2.2857143,1,0.732179
0.593219,0.27309468,2.0126196,2.2857143,1,0.719303
0.615362,0.26482087,2.0208934,2.2857143,1,0.706677
0.637468,0.2562093,2.029505,2.2857143,1,0.693845
0.658843,0.24758112,2.0381332,2.2857143,1,0.680782
0.680244,0.23873511,2.0469792,2.2857143,1,0.666726
0.701455,0.23068951,2.0550248,2.2857143,1,0.653735
0.722901,0.22364981,2.0620645,2.2857143,1,0.642582
0.744075,0.2172631,2.0684512,2.2857143,1,0.632324
0.765043,0.21148242,2.0742319,2.2857143,1,0.622332
0.785656,0.20624114,2.0794731,2.2857143,1,0.612653
0.806298,0.20089488,2.0848194,2.2857143,1,0.602435
0.826603,0.19570978,2.0900045,2.2857143,1,0.592591
0.846670,0.19091487,2.0947994,2.2857143,1,0.583774
0.868046,0.18611762,2.0995967,2.2857143,1,0.575136
0.890931,0.18097136,2.1047429,2.2857143,1,0.565836
0.914306,0.1756644,2.1100499,2.2857143,1,0.556272
0.937562,0.17032563,2.1153887,2.2857143,1,0.546794
0.960874,0.1655176,2.1201967,2.2857143,1,0.538054
0.984850,0.16056576,2.1251485,2.2857143,1,0.528882
1.000000,0.15699649,2.1287178,2.2857143,1,0.522325
