t,KE,IE,TE,mass,mach
0.000000,0.5,1.7857143,2.2857143,1,1.000000
0.034531,0.49654811,1.7891662,2.2857143,1,0.995534
0.069483,0.46842329,1.817291,2.2857143,1,0.968611
0.105680,0.4271165,1.8585978,2.2857143,1,0.933514
0.145393,0.4051042,1.8806101,2.2857143,1,0.926647
0.186056,0.39204078,1.8936735,2.2857143,1,0.921598
0.227012,0.37548036,1.9102339,2.2857143,1,0.895289
0.269675,0.35601242,1.9297019,2.2857143,1,0.858219
0.312879,0.33463515,1.9510791,2.2857143,1,0.820529
0.357268,0.31451132,1.971203,2.2857143,1,0.787812
0.400000,0.29663023,1.9890841,2.2857143,1,0.760368
