t,KE,IE,TE,mass,mach
0.000000,0.5,1.7857143,2.2857143,1,1.000000
0.034510,0.49739261,1.7883217,2.2857143,1,0.996587
0.069356,0.47096983,1.8147445,2.2857143,1,0.971647
0.105314,0.43320856,1.8525057,2.2857143,1,0.940765
0.144560,0.41631991,1.8693944,2.2857143,1,0.941157
0.184303,0.40876796,1.8769463,2.2857143,1,0.945108
0.224486,0.39746661,1.8882477,2.2857143,1,0.927507
0.266263,0.3829262,1.9027881,2.2857143,1,0.898284
0.308717,0.36520364,1.9205107,2.2857143,1,0.867385
0.351546,0.34793888,1.9377754,2.2857143,1,0.839065
0.395512,0.33075656,1.9549577,2.2857143,1,0.813791
0.400000,0.32885265,1.9568616,2.2857143,1,0.811000
