t,KE,IE,TE,mass,mach
0.000000,0.5,1.7857143,2.2857143,1,1.000000
0.034643,0.48375824,1.801956,2.2857143,1,0.980291
0.069820,0.44730004,1.8384142,2.2857143,1,0.941833
0.106665,0.39278188,1.8929324,2.2857143,1,0.884347
0.146745,0.35593222,1.9297821,2.2857143,1,0.848627
0.188808,0.33292026,1.952794,2.2857143,1,0.823363
0.232426,0.31090188,1.9748124,2.2857143,1,0.787919
0.277239,0.28820622,1.9975081,2.2857143,1,0.746376
0.321757,0.26628471,2.0194296,2.2857143,1,0.707606
0.367654,0.24735426,2.03836,2.2857143,1,0.675744
0.400000,0.23536602,2.0503483,2.2857143,1,0.656015
