t,KE,IE,TE,mass,mach
0.000000,0.5,1.7857143,2.2857143,1,1.000000
0.017172,0.49978863,1.7859257,2.2857143,1,0.999489
0.034379,0.49741208,1.7883022,2.2857143,1,0.996575
0.051630,0.48858012,1.7971342,2.2857143,1,0.987802
0.068990,0.47148032,1.814234,2.2857143,1,0.972087
0.086565,0.45146139,1.8342529,2.2857143,1,0.954690
0.104613,0.43487017,1.8508441,2.2857143,1,0.942805
0.123772,0.42414635,1.8615679,2.2857143,1,0.940202
0.143478,0.41894917,1.8667651,2.2857143,1,0.945019
0.163106,0.41613467,1.8695796,2.2857143,1,0.950569
0.182721,0.41301298,1.8727013,2.2857143,1,0.951749
0.202338,0.40897552,1.8767388,2.2857143,1,0.947262
0.222245,0.40418973,1.8815246,2.2857143,1,0.938039
0.242461,0.39886124,1.886853,2.2857143,1,0.926171
0.263024,0.39303675,1.8926775,2.2857143,1,0.913570
0.283657,0.38660581,1.8991085,2.2857143,1,0.901296
0.304399,0.37946258,1.9062517,2.2857143,1,0.888717
0.325077,0.37230839,1.9134059,2.2857143,1,0.876323
0.345599,0.36581476,1.9198995,2.2857143,1,0.865568
0.366247,0.35944634,1.9262679,2.2857143,1,0.856264
0.387462,0.35275081,1.9329635,2.2857143,1,0.846751
0.408769,0.34496443,1.9407499,2.2857143,1,0.835697
0.429656,0.336523,1.9491913,2.2857143,1,0.823567
0.449590,0.32820762,1.9575067,2.2857143,1,0.811100
0.469556,0.31977965,1.9659346,2.2857143,1,0.797990
0.489701,0.31103885,1.9746754,2.2857143,1,0.783849
0.509801,0.30271293,1.9830014,2.2857143,1,0.769432
0.530092,0.29478719,1.9909271,2.2857143,1,0.755406
0.550570,0.28739224,1.998322,2.2857143,1,0.742794
0.571686,0.28005266,2.0056616,2.2857143,1,0.730483
0.593507,0.27207625,2.013638,2.2857143,1,0.717547
0.615551,0.26382509,2.0218892,2.2857143,1,0.704933
0.637711,0.25520297,2.0305113,2.2857143,1,0.692081
0.659136,0.24655969,2.0391546,2.2857143,1,0.678972
0.680673,0.2376825,2.0480318,2.2857143,1,0.664825
0.701864,0.22971015,2.0560041,2.2857143,1,0.651926
0.723238,0.22275038,2.0629639,2.2857143,1,0.640895
0.744473,0.21639329,2.069321,2.2857143,1,0.630670
0.765498,0.21065762,2.0750567,2.2857143,1,0.620750
0.786141,0.20542342,2.0802909,2.2857143,1,0.611093
0.806802,0.20008811,2.0856262,2.2857143,1,0.600909
0.826935,0.19500214,2.0907121,2.2857143,1,0.591242
0.846928,0.19028219,2.0954321,2.2857143,1,0.582561
0.868271,0.18551697,2.1001973,2.2857143,1,0.573961
0.891155,0.18037984,2.1053344,2.2857143,1,0.564659
0.914461,0.17511617,2.1105981,2.2857143,1,0.555169
0.937767,0.16981443,2.1158998,2.2857143,1,0.545765
0.961289,0.16500959,2.1207047,2.2857143,1,0.537009
0.985193,0.16005153,2.1256628,2.2857143,1,0.527814
1.000000,0.1565646,2.1291497,2.2857143,1,0.521411
