n_H,T_enzo,T_ramses,fH2_enzo,fH2_ramses,xHII_enzo,xHII_ramses
1.16999e-01,NaN,NaN,NaN,NaN,NaN,NaN
1.60157e-01,NaN,NaN,NaN,NaN,NaN,NaN
2.19235e-01,NaN,NaN,NaN,NaN,NaN,NaN
3.00105e-01,NaN,NaN,NaN,NaN,NaN,NaN
4.10806e-01,9.57845e-29,3.04429e-02,2.54839e-06,1.68585e-04,3.59157e-04,1.15777e-04
5.62341e-01,9.57845e-29,1.17604e-01,2.77956e-06,1.91837e-04,3.49776e-04,1.16529e-04
7.69775e-01,9.57845e-29,2.05778e-01,3.03063e-06,2.17029e-04,3.41396e-04,1.15451e-04
1.05372e+00,9.57845e-29,2.99621e-01,3.27927e-06,2.46062e-04,3.35783e-04,1.14282e-04
1.44242e+00,9.57845e-29,3.96837e-01,3.52329e-06,2.77758e-04,3.34075e-04,1.13128e-04
1.97449e+00,9.57845e-29,4.84424e-01,3.73761e-06,3.12804e-04,3.38271e-04,1.12095e-04
2.70283e+00,1.93096e+01,5.29899e-01,3.92575e-06,3.61018e-04,3.37399e-04,1.11342e-04
3.69983e+00,2.38077e+01,5.27993e-01,4.09665e-06,4.33795e-04,3.32793e-04,1.10631e-04
5.06460e+00,2.95727e+01,4.95262e-01,4.24328e-06,5.34995e-04,3.28819e-04,1.10246e-04
6.93281e+00,3.65802e+01,4.44275e-01,4.39841e-06,6.48366e-04,3.25066e-04,1.09957e-04
9.49014e+00,4.32684e+01,4.17951e-01,4.41977e-06,7.14238e-04,3.24270e-04,1.10792e-04
1.29908e+01,NaN,NaN,NaN,NaN,NaN,NaN
1.77828e+01,NaN,NaN,NaN,NaN,NaN,NaN
2.43424e+01,NaN,NaN,NaN,NaN,NaN,NaN
3.33217e+01,NaN,NaN,NaN,NaN,NaN,NaN
4.56132e+01,NaN,NaN,NaN,NaN,NaN,NaN
6.24388e+01,NaN,NaN,NaN,NaN,NaN,NaN
8.54709e+01,NaN,NaN,NaN,NaN,NaN,NaN
